Work Order,Instructions,Product ID (Product) (Product),Quantity,Primær Asset Produkt,Work Order Type
WO007492,"Knap til  manuel steam reagerer ikke. 
De synes 3x shot ligner dobbeltshot. Knap til  manuel steam reagerer ikke. 
De synes 3x shot ligner dobbeltshot.","['130301719', '130301821']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO000842,Flow error - tevand ok - men kaffedrikke melder den fejl på. Flow error - tevand ok - men kaffedrikke melder den fejl på.,"['X130302082', '132000000']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO028719,Den giver ingen mælk,['130301535'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO028300,Utæt,['130301530'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO007081,LAver kold kaffe igen.,['130301773'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO040551,"Når vi tænder den og trykke for, at lave den første kaffe/rengøring, så går der en sikring i maskinen og den går i sort. 
Først troede vi det bare drejede sig om en sikring, men vi fandt ud af det faktisk kun er maskinen strømmen går på. ",['130302205'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P TC,Nedbrud
WO034232,"Forsøg med tlf. support efter kl.12 - hun har skiftet mælk og nu skummer det, men hun undre sig over at den ikke ville før, for der var nok mælk. Ingen foam. Alle mælkeprodukter.",['132000000'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO044758,Skifte af t-blok,['130302268'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO020649,"Maskinen skriver nogle gange flowfejl.
Vi skal også tjekke størrelser på kopper, kaffen er lige under stregen.
Derud over snakkede han om, at han manglede nogle rustfri mønt ligende dimser til mælkeslange, kan hjælpe ham med dette evt. fremskaffe varenr.",['130302403'],[2.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO014928,"NOTE: Ring Christina 50623588 inden ankomst (hun går kl. 14 i dag men er der igen i morgen torsdag). Maskinen drypper på gulvet. Der har været flere service på den maskine, de har tidligere fået oplyst at det er deres rør der er noget galt med, men de har haft VVS mand ude og tjekke alt ok. de har stået og set maskinen dryppe, hvilket går ud over deres gulv.  Note: jeg laver også service på anden maskine på adressen.",['130305966'],[2.0],Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO016931,"Den stopper til i tragten.
De har kørt rens 3 gange, men vandet samler sig i tragten.",['130302291'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO016994,"Problemer med den blå rensenøgle, hun tror den er knækket. den registrere ikke der kommer taps i Problemer med den blå rensenøgle, hun tror den er knækket. den registrere ikke der kommer taps i","['130305966', '130302385']","[2.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO002712,Mail fra CD:  Deres maskine vil ikke lave mælkedrikke. Der kommer hvid vand ud Mail fra CD:  Deres maskine vil ikke lave mælkedrikke. Der kommer hvid vand ud Mail fra CD:  Deres maskine vil ikke lave mælkedrikke. Der kommer hvid vand ud,"['130302197', '130302294', '132000000']","[1.0, 3.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO038428,"Maskine er helt sort, ikke lys i knap heller. Lå vand under maskine. ",['130302194'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P TC,Nedbrud
WO030283,"Deres kaffe er meget lys i farven ift. de andre lokationer. Deres kunder spørger også ofte efter dobbeltshot espresso fordi den er så lys/svag. Steamer sprøjter med kogende vand efter opskumming af mælk og efter dosering af tevand.
Når man trykker manuelt steam, steamer den kun få sekunder og så skal man trykke igen.",['130301860'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO025473,"
Nyt problem med maskinen 3. syd - ved rengøring af maskinen, bliver den ved med bede om at fjerne rengøringsnøglen?
Dbh Bettina",['130302224'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO002821,Drypper samt Mækle-foam skal justeres.,['130301715'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO031178,Der er vand i grumsebakken,['130301892'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO016878,"Ring hvis der kan ydes tlf. support
Beder om cold rinse. De trykker og der kommer vand. Beder kort efter om cold rinse igen. Er sket flere gange nu og bliver ved med at komme frem.",['130301214'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO006999,Laver halve kopper på mælkedrikke. Laver halve kopper på mælkedrikke. Laver halve kopper på mælkedrikke. Laver halve kopper på mælkedrikke. Laver halve kopper på mælkedrikke.,"['130301535', '130301128', '130301715', '130301118', '130305531']","[1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO049812,"Ønsker besøg hurtigst muligt, da de har unge mennesker på besøg der drikker kakao.
Stoppet til under mixerskål for kakao. Vand og kakaopulver fanges i mixerskålen. Mixerskål er rengjort.",['130307949'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO022549,Drypper lidt hvor afløbsslange sidder fast under maskinen.,['130302269'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO017348,Kaffemaskine er utæt.,['130305533'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO037254,Kogende vand ud af steamer i toppen (brænder sig på steamer)  Kogende vand ud af steamer i toppen (brænder sig på steamer)  Kogende vand ud af steamer i toppen (brænder sig på steamer)  Kogende vand ud af steamer i toppen (brænder sig på steamer)  Kogende vand ud af steamer i toppen (brænder sig på steamer) ,"['130301796', '130301329', '130301590', '130301811', '130301918']","[1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO042089,Aftalt direkte med KE - Der er noget galt med mælken  Aftalt direkte med KE - Der er noget galt med mælken ,"['130307140', '132000000']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO006112,flowfejl flowfejl flowfejl flowfejl,"['130302295', '130302257', '130302251', '130302388']","[2.0, 1.0, 2.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO002492,Maskinen bliver ved med at melde flowerror Maskinen bliver ved med at melde flowerror,"['130301867', '130301535']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO001605,Mail fra CK: Kaffe bliver ikke varm nok Mail fra CK: Kaffe bliver ikke varm nok Mail fra CK: Kaffe bliver ikke varm nok,"['132000000', '130301922', '130301715']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO014575,Drypper fra skurer under maskinen. Drypper fra skurer under maskinen.,"['130302396', '131000009R']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO051610,"Melder 129 - Dampkedel tilstoppet
Har vist 120 - Fejl ved rengøring af beholder. Info til kunde at det umiddelbart ikke er fejl på maskine, men fejl i placering af slanger i beholder. Melder 129 - Dampkedel tilstoppet
Har vist 120 - Fejl ved rengøring af beholder. Info til kunde at det umiddelbart ikke er fejl på maskine, men fejl i placering af slanger i beholder. Melder 129 - Dampkedel tilstoppet
Har vist 120 - Fejl ved rengøring af beholder. Info til kunde at det umiddelbart ikke er fejl på maskine, men fejl i placering af slanger i beholder.","['130301114', '130307283', '130307856']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4 CTM2 P TC 230V,Nedbrud
WO023276,Maskine 6 thermoplan vil ikke give noget mælk og larmer meget Maskine 6 thermoplan vil ikke give noget mælk og larmer meget,"['130301535', '130301715']","[3.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO004277,"Bliver ved med at bede om rens - reg. ikke rensenøgle.
Mælken drillede den anden dag.
 Bliver ved med at bede om rens - reg. ikke rensenøgle.
Mælken drillede den anden dag.
 Bliver ved med at bede om rens - reg. ikke rensenøgle.
Mælken drillede den anden dag.
 Bliver ved med at bede om rens - reg. ikke rensenøgle.
Mælken drillede den anden dag.
 Bliver ved med at bede om rens - reg. ikke rensenøgle.
Mælken drillede den anden dag.
","['130301563', '130301250', '115906', '130301715', '130301922']","[1.0, 1.0, 2.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO024290,Røde pind ved røde rensenøgle er knækket.,['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO029650,"Utæt, kan ikke se hvorfra. Der er vand på bordet under maskinen.",['130301728R'],[1.0],Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO050876,Løber vand ud under maskinen Løber vand ud under maskinen,"['130305966', '130306229']","[2.0, 0.3]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO042344,"Når de trykker på en kaffe, lyder det til, at maskinen kværner og tamper bønnerne, men der kommer ikke noget ud og den skriver Flow Error. Slanger er tjekket og ok. Når de trykker på en kaffe, lyder det til, at maskinen kværner og tamper bønnerne, men der kommer ikke noget ud og den skriver Flow Error. Slanger er tjekket og ok. Når de trykker på en kaffe, lyder det til, at maskinen kværner og tamper bønnerne, men der kommer ikke noget ud og den skriver Flow Error. Slanger er tjekket og ok. Når de trykker på en kaffe, lyder det til, at maskinen kværner og tamper bønnerne, men der kommer ikke noget ud og den skriver Flow Error. Slanger er tjekket og ok.","['130301523', '130301872', '130301704', '130301686']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO005434, 1 time undervejs ved rengøring før den beder tabletterne.,['130301535'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO040869,Kan ikke køre rens går i stå i nr 7,['130301129'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO043640,Virkede i går efter rep. af piston error. Her til morgen melder den piston error igen. Virkede i går efter rep. af piston error. Her til morgen melder den piston error igen.,"['130301361', '130301201']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO037477,"Efter seneste besøg er den stadigt fundet utæt  ved forreste ben, sker under daglig brug.  Endvidere ikke korrekt kakao, der er ingen skum på toppen, det er bare noget brunt vand.",['130302380'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO020486,"Har haft låg af bønnebeholder og andet åben, men nu er der fugt i skærmen, så de ikke kan vælge drikke. Har haft låg af bønnebeholder og andet åben, men nu er der fugt i skærmen, så de ikke kan vælge drikke.","['130302272', '130302273']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO007493,"Gruppehoved slutter ikke tæt. Løber ud ved americano. 
Synes trippeshot ligner et dobbeltshot.  Gruppehoved slutter ikke tæt. Løber ud ved americano. 
Synes trippeshot ligner et dobbeltshot. ","['130301686', '130301821']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO003496,Kølet fryser mælken. Kølet fryser mælken.,"['130302425', '130301805']","[1.0, 1.0]",Køleskab BW3,Nedbrud
WO051219,2 ud af 2. Kommer vand ud under maskinen når den er i gang med rengøring.,['131000009R'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO013385,"Komponentfejl - der kommer kun mælk, ikke kaffe. Komponentfejl - der kommer kun mælk, ikke kaffe.","['130302295', '130301273']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO052314,"Kommer ikke nok mælk i mælkedrikke, ligner lidt vand. Har efterset mælkesug. Kommer ikke nok mælk i mælkedrikke, ligner lidt vand. Har efterset mælkesug.","['130302294', '132000000']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO015717,"Update 27/5: Mail fra kunde til Theis Øens kaffe: Vores elektriker kommer mandag den 30/5 fra morgenstunden og flytter strømmen hen til kaffemaskinens nye placering.
Der er vand og afløb lige bag ved maskinens nye placering.

De kan ikke starte maskinen op, kunden ringer for en anden.
Theis vil gerne ringes op, om hvornår i kommer forbi, så han kan give besked Tlf.: 2199 7407.",['130301901'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO025124,Cappuccino laver ikke noget skum. Cappuccino laver ikke noget skum.,"['130301137', '130301923']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO012164,Melder komponentfejl,['130302294'],[3.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO053455,"Sag 4 af 4.
Laver for lille mængde mælk. Sag 4 af 4.
Laver for lille mængde mælk. Sag 4 af 4.
Laver for lille mængde mælk.","['130301175R', '130301280', '130301272']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2 Starbucks,Nedbrud
WO049670,"Sag fra Dalux 282689.
Ingen kontaktperson er oplyst, kun hovednummer 33910530.
Fejlmelding: Kaffemaskine i bager skal laves af tekniker - rød dut",['130302422'],[1.0],Thermoplan Kaffemaskine BW4 CTM2 P TC 230V,Nedbrud
WO045497,"Efter 2-3 kopper mælkedrikke, meldes der tom for mælk. Mælkebeholder er helt fyldt op. føler er helt nede i mælken. Tages mælkebeholder og og sættes i igen, kan den give 2-3 kopper mælkedrikke igen og melder så igen at mælkebeholder er tom.",['130302274'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO020765,"Maskinen vil ikke give mælk.
",['132000000'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO045895,Vil ikke færdiggøre renseprogram. ,['130301893'],[2.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO022642,"Skærm bliver sort.
Blinker når de kører rengøringsprogram.
Har prøvet at slukke tænde.",['130301377'],[0.5],Thermoplan Kaffemaskine BW4c CTM2 P TC,Nedbrud
WO022436,Kakao larmer. ,['130302291'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO028326,"Registrere ikke mælken, har gjort føler ren",['130302313'],[1.0],Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO032465,Steamer giver vand ingen damp,['131000003R'],[1.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO048657,"indmeldt telefonisk 72273601. Melder vandflow fejl.  Når de vælger en drik lyder det som om maskinen laver den, men der udleveres ikke noget.",['130301272'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO039928,Indmeldt af 23434499.  pinden i den røde rensenøgle er knækket.  ,['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO037365,Vil gerne have service af maskine. Den drypper under og blinker i skærm. ,['130300149'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO017992,De kan ikke starte deres kaffemaskine op. De kan ikke starte deres kaffemaskine op. De kan ikke starte deres kaffemaskine op. De kan ikke starte deres kaffemaskine op.,"['130301917', '130301453', '130301529', '130301715']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO038285,"Hver gang maskine tændes, springer sikringer. Oplevede at sikringer sprang i går, men fik maskine op at køre. Men i dag sker samme og kan ikke få gang i maskine.   Hver gang maskine tændes, springer sikringer. Oplevede at sikringer sprang i går, men fik maskine op at køre. Men i dag sker samme og kan ikke få gang i maskine.   Hver gang maskine tændes, springer sikringer. Oplevede at sikringer sprang i går, men fik maskine op at køre. Men i dag sker samme og kan ikke få gang i maskine.   Hver gang maskine tændes, springer sikringer. Oplevede at sikringer sprang i går, men fik maskine op at køre. Men i dag sker samme og kan ikke få gang i maskine.  ","['130301923', '130301917', '130301127', '130301715']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO016163,"Maskinen skriver fortsat bønnebeholderne tom, selvom den er fyldt. Kunden har forsøgt at rense og tømme beholderen for at se om der sidder noget i den. Maskinen skriver fortsat bønnebeholderne tom, selvom den er fyldt. Kunden har forsøgt at rense og tømme beholderen for at se om der sidder noget i den.","['130301892', '130301318']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO046272,"En af maskinerne BW4c slår sikring. Har taget alt andet udstyr fra. Ved ikke hvilken af maskinerne der tager sikringen, da de ikke kan tage ledningen ud af membrandåse. Maskiner er slukket på kontakt og tager alligevel strøm. En af maskinerne BW4c slår sikring. Har taget alt andet udstyr fra. Ved ikke hvilken af maskinerne der tager sikringen, da de ikke kan tage ledningen ud af membrandåse. Maskiner er slukket på kontakt og tager alligevel strøm. En af maskinerne BW4c slår sikring. Har taget alt andet udstyr fra. Ved ikke hvilken af maskinerne der tager sikringen, da de ikke kan tage ledningen ud af membrandåse. Maskiner er slukket på kontakt og tager alligevel strøm.","['130306285', '130305539', '130302269']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO013495,Sort skærm Sort skærm Sort skærm,"['130302273', '130301529', '130302272']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO012253,"Fra mail: two of our Bentax machines are not working.
( No: 140949, inside the coffee-shop and 134514, outside the coffee-shop).
They do not produce any drinks with milk.
We checked the hose, everything seems to be ok.
Do you have an advice, what we can do?
 Fra mail: two of our Bentax machines are not working.
( No: 140949, inside the coffee-shop and 134514, outside the coffee-shop).
They do not produce any drinks with milk.
We checked the hose, everything seems to be ok.
Do you have an advice, what we can do?
 Fra mail: two of our Bentax machines are not working.
( No: 140949, inside the coffee-shop and 134514, outside the coffee-shop).
They do not produce any drinks with milk.
We checked the hose, everything seems to be ok.
Do you have an advice, what we can do?
 Fra mail: two of our Bentax machines are not working.
( No: 140949, inside the coffee-shop and 134514, outside the coffee-shop).
They do not produce any drinks with milk.
We checked the hose, everything seems to be ok.
Do you have an advice, what we can do?
","['130301845', '130301922', '132000000', '130301535']","[1.0, 1.0, 1.0, 2.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO009323,"Lægger mælkevand på bordet, det løber ned af ledningerne.",['130301530'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO040186,"Melder ingen mælk. Begge ""slanger"" er helt nede i mælken. Melder ingen mælk. Begge ""slanger"" er helt nede i mælken.","['130302313', '130302292']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P TC,Nedbrud
WO042098,"Kaffe fra reservoir er helt kold. Når de kører rengøringsprogram, er reservoir ikke en del af rengøringsprogrammet.",['131000006R'],[1.0],Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO034878,"Kun mælk og vand kommer ud. Kommer med kliklyd, som om stempel ikke går i. Melder missing beans derefter, og har tjekket på påfyld med bønner og åbent for beholder. ",['130301318'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000632,Lægger lidt vand under maskinen - foamer ikke nok på mælkedrikke.,['130301806'],[1.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO012753,"
Kaffemaskinen fylder ikke koppen som det plejer, jeg tror at den har et problem met at kaffe af mælkeprodukter 
Kaffemaskinen fylder ikke koppen som det plejer, jeg tror at den har et problem met at kaffe af mælkeprodukter","['130301715', '130301806']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO021987,"Der løber mælk ud under maskinen. hun siger noget om 2 huller.
(Hun var svær og forstå)",['132000000'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO032711,Utæt Utæt Utæt,"['130302269', '131000011R', '130302294']","[1.0, 1.0, 2.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO025069,Den larmer når den brygger Den larmer når den brygger,"['130301624', '130301280']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO036438,"Udskiftning af tre slanger, to mælkeslanger + den store. ",['130302313'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO006979,"Mælkedrikke er kolde. 

 Mælkedrikke er kolde. 

 Mælkedrikke er kolde. 

 Mælkedrikke er kolde. 

","['130301923', '130301715', '130301535', '132000000']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO013847,Der sker slet ingenting når de vil bruge steamer,['130305536'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO049824,Røde pind bag rensenøgle er knækket. Kørt rengøring.,['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO028810,"Maskine melder ""Flow error"". Efter genstart af maskinen er det væk, men kommer igen efter lidt tid. Kunden har tjekket at der er åbnet for vandet. Maskine melder ""Flow error"". Efter genstart af maskinen er det væk, men kommer igen efter lidt tid. Kunden har tjekket at der er åbnet for vandet.","['130301535', '130305536']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO002010,Doserer for lidt i koppen Doserer for lidt i koppen Doserer for lidt i koppen,"['130301806', '132000000', 'X130302082']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO025626,Pind inde ved røde rensenøgle er knækket,['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS TC,Nedbrud
WO037182,Maskine doserer kun ud af den ene side af doseringshovedet.,['130301686'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO028753,"Utæt under maskinen i den side der er kakao. Kunde har forsøgt at køre rengøringsprogram og rengøre kakaodelene, men den er stadig utæt.",['130302380'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO039193,"I forbindelse med rengøring løber der vand ud af køleskabet.
De kan se mælk i langerne med ledninger i. I forbindelse med rengøring løber der vand ud af køleskabet.
De kan se mælk i langerne med ledninger i.","['130301259', '130302070']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO011595,"Maskinen er stadig utæt, mere end før",['130301338'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO028369,Tekst fra mail: Maskine 2 lyder mærkeligt og melder problemer med waterflow. ,['130302268'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO008365,Giver 1/2 kopper på det hele,['130301893'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO037055,Der ligger en del mælk/vand under maskine til morgen. Mener den er utæt.,['130301492'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO042062,Melder komponentfejl,['130302313'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO046661,Kontakt for aftale om besøg. Drypper med vand under maskine bagtil. Kommer løbene hele dagen.,['130302194'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO014868,Skummer ikke mælk og er lunken. Skummer ikke mælk og er lunken. Skummer ikke mælk og er lunken. Skummer ikke mælk og er lunken.,"['X130302082', '130301931', '130302102', '132000000']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO007962,"Den meldte fejl i weekenden, og nu slår den relæet. Den er gået helt i sort. Den meldte fejl i weekenden, og nu slår den relæet. Den er gået helt i sort.","['130302313', '130301327']","[1.0, 2.0]",Thermoplan Kaffemaskine BW4c CTM2 P TC,Nedbrud
WO035594,"Maskinen melder ""Flow errror"".   Han siger det er ok, hvis vi kommer fredag.",['130301892'],[1.0],Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO045956,"1 ud af 2. Skærm flimre, har forsøgt med genstart. ",['130300149'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO011319,"Giver mindre og mindre i mælkedrikkene.
Går kl.13 i dag",['130302263'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO003317,Melder flow error,['130301342'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO013026,Skummer ikke mælken,['132000000'],[1.0],Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO051678,"Katrine vender tilbage om det er muligt at komme ind imellem jul og nytår. Der er adgang i dag fredag.
Slange fra filter til kaffemaskine er knækket. Har lukket for vandet til at i C2 køkken.",['130304344'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO011878,"Ledning faldet af, rustet",['130304344'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO035907,Løbetid er meget lang på shots. ,['130301522'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
