Work Order,Instructions,Product ID (Product) (Product),Quantity,Primær Asset Produkt,Work Order Type
WO033002,"Vores Thermoplan maskine nr. 6, hvæser af os og så giver den kun halve kopper Vores Thermoplan maskine nr. 6, hvæser af os og så giver den kun halve kopper Vores Thermoplan maskine nr. 6, hvæser af os og så giver den kun halve kopper Vores Thermoplan maskine nr. 6, hvæser af os og så giver den kun halve kopper Vores Thermoplan maskine nr. 6, hvæser af os og så giver den kun halve kopper","['130301923', '130301535', '130301127', '130305527', '130301175R']","[1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO007624,Melder flow error,['130301158'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO015167,"Beder om renseprogram, når den er færdig med renseprogram.
",['130302313'],[1.0],Thermoplan Kaffemaskine BW4 CTM2 P 2M AO TC extern grums 230V,Nedbrud
WO042503,Maskine lækker vand når de brygger kaffe. Kommer under maskine ved slanger. De har slukket maskinen.  Maskine lækker vand når de brygger kaffe. Kommer under maskine ved slanger. De har slukket maskinen. ,"['130302269', '130306229']","[1.0, 0.5]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO037253,Under bryg af kaffe blinker skærm og blå info ikon kommer. Laver ikke mælkeskum ved cappuccino.  Under bryg af kaffe blinker skærm og blå info ikon kommer. Laver ikke mælkeskum ved cappuccino. ,"['130302349', '130302348']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4 CTM2 PF 2M TC extern grums,Nedbrud
WO005294,"Brygger kaffe op til karret, men de kan ikke få lov at tappe derfra.  

Tilbagevendende problem. Problemer med at registrer kaffen i karret.  Brygger kaffe op til karret, men de kan ikke få lov at tappe derfra.  

Tilbagevendende problem. Problemer med at registrer kaffen i karret.  Brygger kaffe op til karret, men de kan ikke få lov at tappe derfra.  

Tilbagevendende problem. Problemer med at registrer kaffen i karret.  Brygger kaffe op til karret, men de kan ikke få lov at tappe derfra.  

Tilbagevendende problem. Problemer med at registrer kaffen i karret. ","['130301923', '130305536', '130302125', '130301975']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO027186,"Under rengøring skummer den rigtig meget, meget mere end den plejer. 
Der er næsten kun skum i beholder samt den drypper under bunden.",['131000014'],[1.0],Thermoplan Kaffemaskine BW4 Neo CTM1 TC,Nedbrud
WO033172,"Fra mail: Thermoplan maskine nr 3, giver kun halve kopper, vil I kigge på den Fra mail: Thermoplan maskine nr 3, giver kun halve kopper, vil I kigge på den Fra mail: Thermoplan maskine nr 3, giver kun halve kopper, vil I kigge på den Fra mail: Thermoplan maskine nr 3, giver kun halve kopper, vil I kigge på den","['130301923', '130301127', '130301715', '130301535']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO020779,"Fejl i statusstyresystem, vand drypper ud ved mælkeføler.
Tina 28108234 Fejl i statusstyresystem, vand drypper ud ved mælkeføler.
Tina 28108234 Fejl i statusstyresystem, vand drypper ud ved mælkeføler.
Tina 28108234","['130302313', '130302194', '130301377']","[1.0, 1.0, 0.5]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO052796,Maskine melder Powder error. Maskine melder Powder error. Maskine melder Powder error.,"['130301280', '130301175R', '130301272']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2 Starbucks,Nedbrud
WO049889,"indmeldt af AA som haster. VIl ikke opløse den røde rensetab, kun de to blå. Fuldfører derfor ikke rens.",['130302292'],[1.0],Thermoplan Kaffemaskine BW4 CTM2 2M TC 230V,Nedbrud
WO024291,TEST TEST STR,['130302227'],[1.0],Kaffemaskine BW4c CTM2 TC extern grums,Nedbrud
WO028539,"Kakao stopper til, har prøvet at rense flere gange Kakao stopper til, har prøvet at rense flere gange","['130302164', '130302380']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO018962,Fejl: Rengøringstemperaturen er for høj (116) Fejl: Rengøringstemperaturen er for høj (116) Fejl: Rengøringstemperaturen er for høj (116),"['130302197', '130302294', '130302403']","[1.0, 3.0, 1.0]",Thermoplan Kaffemaskine BW4 CTM2 P 2M RL TC 230V ,Nedbrud
WO035559,"Efter 0,5 kop, melder den vnadflowfejl",['130301657'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO008142,Fryser mælken til ,['130302425'],[1.0],Køleskab BW3,Nedbrud
WO030316,Maskine vil ikke dosere kaffe når der vælges mælkeprodukt. Siger en mærkelig lyd og går direkte over til mælkedosering. Når der vælges kaffeprodukt vil den gerne dosere kaffen.,['130301317'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO021241,Lækker vand. Kan ikke se hvorfra det kommer. Lækker vand. Kan ikke se hvorfra det kommer. Lækker vand. Kan ikke se hvorfra det kommer. Lækker vand. Kan ikke se hvorfra det kommer. Lækker vand. Kan ikke se hvorfra det kommer.,"['130302194', '130302269', '130302294', '130302193', '130302253']","[1.0, 1.0, 2.0, 2.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO033797,"Maskine tager strømmen, når de trykker på den røde tænd-knap. Maskine tager strømmen, når de trykker på den røde tænd-knap.","['130301673', '130301651']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO021166,Fejlsøge på maskine. Vil ikke køre rense program.,['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO049976,"Maskine melde flow error når de vælger americano. Den laver shottet, men udlevere ikke vandet. Maskine melde flow error når de vælger americano. Den laver shottet, men udlevere ikke vandet.","['130305536', '130301535']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO007292,Drypper kraftigt,['130302194'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO037206,Rensnøgle knækket. Kan ikke lave rengøring.,['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO014326,Melder flowerror ved americano,['130301523'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO045765,"Maskine tv, kommer shots ud i grumseskuffen. ",['130301329'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO031559,Maskine er utæt,['130301844'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO030576,"Steamer utæt, så det løber ned ad steamerarmen.",['130301811'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO047186,Fylder vand over i mælken efter valg af mælkedrikke.,['130307140'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO002534,Maskinen vil ikke lave mælkedrikke Maskinen vil ikke lave mælkedrikke,"['130302197', '132000000']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO035597,Hyler og skriger i bryggeren. Hyler og skriger i bryggeren. Hyler og skriger i bryggeren. Hyler og skriger i bryggeren.,"['130301280R', '130301175R', '130301318', '130301624']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO006850,Maskinen giver ingen mælk.,['130301923'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO029048,"Der kommer rigtig mange mange i morgen, så de vil gerne vi kommer og kigger på den i dag om muligt.
Den virker ikke, ringer for en anden.
 Der kommer rigtig mange mange i morgen, så de vil gerne vi kommer og kigger på den i dag om muligt.
Den virker ikke, ringer for en anden.
 Der kommer rigtig mange mange i morgen, så de vil gerne vi kommer og kigger på den i dag om muligt.
Den virker ikke, ringer for en anden.
","['130302197', '130301715', '132000000']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000402,Koger ikke klar,['130302209'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO035720,"Vand under maskinen i venstre side bagved, ved bryg af kaffe. Der kommer ikke vand når der vælges tevand og afløb virker fint og er renset. ",['132000000'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO046383,BW3 CBTM til venstre melder flow error.,['131000009R'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO003113,Flow-error når den skal lave alm kaffe. Der kommer rent vand ud. Kontakt: 86762744,['130302000'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO052312,"Utæt, drypper konstant på bordet. Utæt, drypper konstant på bordet.","['130301428', '130301379']","[1.0, 0.5]",Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO014815,"Utæt efter sidste besøg. Er mest ved rengøringsprogram, men også på andre tidspunkter.",['130305966'],[2.0],Thermoplan Kaffemaskine BW4c CTM2 RS TC,Nedbrud
WO048486,Tilgangsslange  Tilgangsslange ,"['130305527', '130304345']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CT2,Nedbrud
WO044487,Kommer med et højt smæld når den brygger kaffe og melder flere gange at bønnebeholder er tom. Har taget beholder af og rengjort.  Kommer med et højt smæld når den brygger kaffe og melder flere gange at bønnebeholder er tom. Har taget beholder af og rengjort. ,"['130301280R', '130301273']","[1.0, 2.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO049812,"Ønsker besøg hurtigst muligt, da de har unge mennesker på besøg der drikker kakao.
Stoppet til under mixerskål for kakao. Vand og kakaopulver fanges i mixerskålen. Mixerskål er rengjort.",['130307949'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO026349,"VAGTUDKALD:
Foamer rigtig hård mælk ved udlevering. ",['132000000'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO026471,"Vil gerne have besøg i dag om mulig, Han siger de ringede i morges kl. 7.45, men der var ikke oprettet en sag !!
Hvis det først bliver i morgen, skal det være efter kl. 10.
Den er utæt så der er vand over det hele når de laver kaffe, han kan ikke se hvor vandet kommer fra.
Display er også meget sensitiv, den registrere ikke altid når de trykker på rengøringsprogram.
De har slukket for maskinen.
 Vil gerne have besøg i dag om mulig, Han siger de ringede i morges kl. 7.45, men der var ikke oprettet en sag !!
Hvis det først bliver i morgen, skal det være efter kl. 10.
Den er utæt så der er vand over det hele når de laver kaffe, han kan ikke se hvor vandet kommer fra.
Display er også meget sensitiv, den registrere ikke altid når de trykker på rengøringsprogram.
De har slukket for maskinen.
 Vil gerne have besøg i dag om mulig, Han siger de ringede i morges kl. 7.45, men der var ikke oprettet en sag !!
Hvis det først bliver i morgen, skal det være efter kl. 10.
Den er utæt så der er vand over det hele når de laver kaffe, han kan ikke se hvor vandet kommer fra.
Display er også meget sensitiv, den registrere ikke altid når de trykker på rengøringsprogram.
De har slukket for maskinen.
 Vil gerne have besøg i dag om mulig, Han siger de ringede i morges kl. 7.45, men der var ikke oprettet en sag !!
Hvis det først bliver i morgen, skal det være efter kl. 10.
Den er utæt så der er vand over det hele når de laver kaffe, han kan ikke se hvor vandet kommer fra.
Display er også meget sensitiv, den registrere ikke altid når de trykker på rengøringsprogram.
De har slukket for maskinen.
 Vil gerne have besøg i dag om mulig, Han siger de ringede i morges kl. 7.45, men der var ikke oprettet en sag !!
Hvis det først bliver i morgen, skal det være efter kl. 10.
Den er utæt så der er vand over det hele når de laver kaffe, han kan ikke se hvor vandet kommer fra.
Display er også meget sensitiv, den registrere ikke altid når de trykker på rengøringsprogram.
De har slukket for maskinen.
","['130301690', '130301719', '130301690', '130301697', '130301773']","[1.0, 1.0, 1, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO019373,"Den  står og varmer op hele tiden, skriver Heating up.",['130301453'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO030696,"Den tager strømmen når hun tænder for maskinen.
 Den tager strømmen når hun tænder for maskinen.
 Den tager strømmen når hun tænder for maskinen.
","['130301686', '130307011', '130301212']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO012841,"Der hvor mælketabs skal i, er poppet ud – slået hul på skuffen.",['130302176'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO019363,Maskinen slår relæet. Kunden har slukket for den. Maskinen slår relæet. Kunden har slukket for den.,"['130302194', '130301377']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO007922,"Mail:
Fylder ikke kopperne op. Mail:
Fylder ikke kopperne op.","['130301535', '130301128']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO006324,"Larmer når den er færdig med en kop - Udløbshoved er væk, ved ikke om det kan gøre at den larmer sådan?",['131000007R'],[1.0],Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO045613,Melder koger ej klar.,['131000013R'],[1.0],Thermoplan Kaffemaskine BW4 CTM2 P 2M RL TC 230V ,Nedbrud
WO029757,"Maskine i tower, 8 . sal
Lækker meget vand, kan ikke se hvorfra. Maskine er slukket.",['130302269'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO009668,"Fra mail: Vores kaffemaskine går i stå under rens. Før løb den over, men så fiksede en af jeres montører noget på afløbet og nu går den så bare i stå hver anden gang og skal så køre igen. I må meget gerne komme forbi og fikse.
Kontoret er åbent i dag samt mandag til torsdag i næste uge. Lukket mellem jul og nytår.
 Fra mail: Vores kaffemaskine går i stå under rens. Før løb den over, men så fiksede en af jeres montører noget på afløbet og nu går den så bare i stå hver anden gang og skal så køre igen. I må meget gerne komme forbi og fikse.
Kontoret er åbent i dag samt mandag til torsdag i næste uge. Lukket mellem jul og nytår.
","['130302201', '130302251']","[1.0, 2.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO009885,Føler i rød rensenøgle er knækket. Medarbejder havde forsøgt at sætte to rensetabs i nøglen. Føler i rød rensenøgle er knækket. Medarbejder havde forsøgt at sætte to rensetabs i nøglen.,"['130302422', '130302194']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO026219,"Jeg vil gerne bede om service til 2 kaffemaskiner i Coffeeshop på Benedikte.
 
De lækker under maskinen. Ser ud til der er mælk i vandet. 
 Jeg vil gerne bede om service til 2 kaffemaskiner i Coffeeshop på Benedikte.
 
De lækker under maskinen. Ser ud til der er mælk i vandet. 
 Jeg vil gerne bede om service til 2 kaffemaskiner i Coffeeshop på Benedikte.
 
De lækker under maskinen. Ser ud til der er mælk i vandet. 
","['130301127', '130301535', '130301923']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2 Starbucks,Nedbrud
WO050225,"Under rens kommer der meget vand under maskine. Ligner det er fra kakao, men tragt er sat helt ind.",['130307949'],[2.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO037508,Lækker under bunden. Lækker under bunden.,"['130301923', '132000000']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO021582,"Kan ikke tændes. Lyser ikke i tænd/slukknap. Sikring er ikke slået fra.
Tjek også deres køleskab. Jeg mistænker at denne også er ude af drift.",['130301530'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO008426,Lægger lidt vand under maskinen.,['130305966'],[2.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO014620,"Giver ikke mælk nok, til cappuccino. Efter kl. 13",['130301535'],[2.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO005629,"Mail fra CK: Beholderen med de alm kaffebønner, giver fejl på displayet. Det er sket 4 gange i dag. Vi har haft spilitte maskinen ad, men det har ikke hjulpet.
",['130301535'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO050855,"Meldte pludselig bean hopper empty på højre side. Ved test om der leveres drikke fra venstre beholder, melder den nu også tom på venstre beholder. Meldte pludselig bean hopper empty på højre side. Ved test om der leveres drikke fra venstre beholder, melder den nu også tom på venstre beholder. Meldte pludselig bean hopper empty på højre side. Ved test om der leveres drikke fra venstre beholder, melder den nu også tom på venstre beholder. Meldte pludselig bean hopper empty på højre side. Ved test om der leveres drikke fra venstre beholder, melder den nu også tom på venstre beholder. Meldte pludselig bean hopper empty på højre side. Ved test om der leveres drikke fra venstre beholder, melder den nu også tom på venstre beholder.","['130301318', '130301624', '130301317', '130301892', '130302088']","[1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO001338,"Mail fra kunde: Hej på kontoret 
 
Vi har haft en del problemer med kaffemaskinen i dag. Det virker som om at mælkedoseringen ikke fungerer optimalt. Derudover har vi fået en del kommentarer omkring at kaffen er for tynd. Kan i sende en ud og kigge på det snarest muligt.
 
På forhånd tak 
",['130302294'],[2.0],Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO017807,"Vil ikke give mælk
Cordula 50370592",['130302313'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO035695,Maskinen registrere ikke kafferensetabs. Piston er knækket.,['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO021545,"Lækker vand når den skylder.
Lækker kold mælk, når den skal give mælkedrikke.
Lækker fra 3 forskellige steder.
Spildbakke er skubbet helt ind. Det ser ud som om hullet som studs på spildbakke skal sidde i, sidder for langt tilbage.",['130302227'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO052344,Ved latte og cappuccino kommer der ikke nok i koppen. Test af americano kommer der nok i koppen. Har efterset mælkesug og rengjort.,['132000000'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO005277,Mail fra CK: Relæet slår fra når kaffemaskinerne er i brug.,['130301715'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO014231,Giver ingen mælk,['130302313'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO022008,Der kommer vand ned i grumsebeholderen når de brygger kaffe. Der kommer vand ned i grumsebeholderen når de brygger kaffe.,"['130301892', '130301318']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO008814,melder vand flow fejl,['130302269'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO010853,"Mælken registreres ikke, og den melder samtidig køleskabet har for høj temperatur. ",['130302313'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO033929,"Der kommer meget vand ved dobbelt shot og tiden svinger meget. 
Maskinen TH må også gerne tjekkes.  Der kommer meget vand ved dobbelt shot og tiden svinger meget. 
Maskinen TH må også gerne tjekkes. ","['130305536', '130301175']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO033562,Melder Flow error (TX0115),['130301791'],[1.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO034923,Genbesøg: Piston error kommer ved tryk på espresso knap. Grumseskuffe er tømt.  Genbesøg: Piston error kommer ved tryk på espresso knap. Grumseskuffe er tømt. ,"['131000007R', '130301361']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO003402,vil ikke suge mælk op. ,['130301773'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO012180,Giver ikke mælk i kakao. Giver meget lidt mælk i mælkekaffe,['130301137'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P TC,Nedbrud
WO003172,"Fra mail: Bentax kaffemaskine virker ikke, den viser flere fejl og er nu slukket. Kontakt i butik er Mads Fra mail: Bentax kaffemaskine virker ikke, den viser flere fejl og er nu slukket. Kontakt i butik er Mads Fra mail: Bentax kaffemaskine virker ikke, den viser flere fejl og er nu slukket. Kontakt i butik er Mads Fra mail: Bentax kaffemaskine virker ikke, den viser flere fejl og er nu slukket. Kontakt i butik er Mads Fra mail: Bentax kaffemaskine virker ikke, den viser flere fejl og er nu slukket. Kontakt i butik er Mads","['130302294', '130302197', '130302244', '132000000', '130302194']","[4.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO024152,Varm mælk Varm mælk,"['130302313', '130305533']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO016609,"Ring/mail for at aftale tid for besøg
Placeret i vores Coffeeshop på dæk 5
Maskine har været rengjort 2 gange. Og spørger stadigvæk efter 2 tabletter af de små.",['130301259'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO041963,Tappen i den røde rensenøgle er knækket af.,['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P TC,Nedbrud
WO040803,"Kollegaer oplyser at maskine kværner kaffen, men ingen vand kommer ud. Mente den meldte en vandtilførsel fejl.  Kollegaer oplyser at maskine kværner kaffen, men ingen vand kommer ud. Mente den meldte en vandtilførsel fejl. ","['130306033', '130306031']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4 Neo CT1 TC,Nedbrud
WO000270,Kan ikke kører rens Kan ikke kører rens,"['130301377', '130301530']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO005762,"Fra mail: Maskine 7 termoplan, giver ikke særlig meget kaffe, måske det snart er tid til service?",['130305527'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO020191,"Genudkørsel: Vil gerne have besøg i dag om mulig, men ikke lovet noget. Samme fejl som sidst: Melder fejl på koger, er genstartet flere gange uden held.  ",['130302365'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO037571,"Der trækkes også Emmerys forebyggende opgave til maskinen.
Americano og filterkaffe bliver kun halvt fyldt op. Espresso og tevand er OK. Der trækkes også Emmerys forebyggende opgave til maskinen.
Americano og filterkaffe bliver kun halvt fyldt op. Espresso og tevand er OK.","['130301522', '130305536']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO010459,"Skærmen virker ikke, den reagerer ikke, når de trykker på den. Hun har prøvet at slukke og tænde den, men det hjælper ikke.",['130301719'],[1.0],Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO008404,Mælk kommer ikke ned i koppen. Det ryger ned i grumsskuffen.  Mælk kommer ikke ned i koppen. Det ryger ned i grumsskuffen. ,"['130302294', '130302197']","[4.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS Kold mælk R,Nedbrud
WO000767,Maskine er utæt. Drypper ud under bunden. ,['130300346'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO035594,"Maskinen melder ""Flow errror"".   Han siger det er ok, hvis vi kommer fredag.",['130301892'],[1.0],Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO020124,"Genkørsel 3 gang.
Maskinen melder stadigvæk, at der ikke er bønner i selvom den er fyldt. 
 Genkørsel 3 gang.
Maskinen melder stadigvæk, at der ikke er bønner i selvom den er fyldt. 
","['130301535', '131000007R']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO028165,"Kunden var meget svær at forstå (engelsktalende) - men der er problemer med mælkeudlevering.  Som jeg forstod det på ham kommer der noget mælk ud, men der var problemer med det.  ",['130301901'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO013098,registrere ikke når de trykker på skærmen,['130301719'],[1.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
