Work Order,Instructions,Product ID (Product) (Product),Quantity,Primær Asset Produkt,Work Order Type
WO000201,Fylder ikke nok i kopperne Fylder ikke nok i kopperne Fylder ikke nok i kopperne Fylder ikke nok i kopperne Fylder ikke nok i kopperne,"['130301922', '130301535', '130301277', '130301806', '130301715']","[1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000202,Giver ingen mælk,['130301806'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000203,Kan ikke starte op. når de vil kører rens går maskinerne i sort.,['102230'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000205,Lukker ned  når de vil kører rens Lukker ned  når de vil kører rens Lukker ned  når de vil kører rens,"['X130302082', '102230', '130301892']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000209,Går i sort i display når de vil starte op,['130500006'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO000210,Melder popwder error Melder popwder error Melder popwder error Melder popwder error,"['130301624', '130301317', '130301318', '130301892']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000211,"Mail fra CK: 4 strømafbydere - slår fra - til kaffemaskine,tobakskab og Merrychef(ovn).
Skal laves sådan at sikringer ikke slår fra så tit.
 Mail fra CK: 4 strømafbydere - slår fra - til kaffemaskine,tobakskab og Merrychef(ovn).
Skal laves sådan at sikringer ikke slår fra så tit.
 Mail fra CK: 4 strømafbydere - slår fra - til kaffemaskine,tobakskab og Merrychef(ovn).
Skal laves sådan at sikringer ikke slår fra så tit.
 Mail fra CK: 4 strømafbydere - slår fra - til kaffemaskine,tobakskab og Merrychef(ovn).
Skal laves sådan at sikringer ikke slår fra så tit.
 Mail fra CK: 4 strømafbydere - slår fra - til kaffemaskine,tobakskab og Merrychef(ovn).
Skal laves sådan at sikringer ikke slår fra så tit.
","['130301308', '130301338', '130301790', '130301715', '130301214']","[1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000213,Kunden skriver: der kommer vand ud for neden af maskinen Kunden skriver: der kommer vand ud for neden af maskinen,"['130301715', '131000009R']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000235,Skal have skiftet mælkeslanget. Har været klippet over ifbm. ombygning jf. Sussi  Skal have skiftet mælkeslanget. Har været klippet over ifbm. ombygning jf. Sussi ,"['130302194', '130302313']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000237,melder flow error,['130301523'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO000240,Gennemgang af maskine inden færgen kommer i drift.  Gennemgang af maskine inden færgen kommer i drift. ,"['130302291', '130301893']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO000242,Fylder ikke nok i mælkedrikkene,['130301129'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000244,"Mælke slange defekt
",['130302313'],[1.0],Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO000245,Kører fast i kværnen. Åbner fredag men er der hver dag indtil,['130301280'],[1.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO000251,Kan ikke køre med kværnen Kan ikke køre med kværnen,"['102046', '130301535']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO000270,Kan ikke kører rens Kan ikke kører rens,"['130301377', '130301530']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000272,Gennemgang af maskine inden færgen skal i drift.  Gennemgang af maskine inden færgen skal i drift.  Gennemgang af maskine inden færgen skal i drift.  Gennemgang af maskine inden færgen skal i drift. ,"['130301892', '130301867', '130301318', '130301935']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO000293,Vandpumpe virker ikke samt indgangsventil,['130301529'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000298,Utæt ved steamarm Utæt ved steamarm,"['102311', '130301811']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO000308,Mælkeslange ser ulækker ud. ,['130302313'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000325,"Problemer med mælk. Vil ikke suge mælk op. 
Smider vand i koppen i stedet Problemer med mælk. Vil ikke suge mælk op. 
Smider vand i koppen i stedet","['130302294', '130302194']","[4.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000329,Mail fra CD: Maskinen på Nyhavn 37 Vil ikke tappe kaffe fra kar. Den kan godt brygge over i karet og fylde karet men knappen er skraveret. Mail fra CD: Maskinen på Nyhavn 37 Vil ikke tappe kaffe fra kar. Den kan godt brygge over i karet og fylde karet men knappen er skraveret.,"['130301975', '130302125']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000333,Mail fra Kontra: Vil ikke lave mælkedrikke,['130302194'],[1.0],Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO000339,Mail fra Tina: mælkeslange er ulækker. Kan vi skifte den?,['130301901'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000346,Siger produkter ikke ser ordentlige ud. Som om det mangler crema. Også problemer med at den melder bønnebeholder tom. ,['130302194'],[1.0],Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO000364,Vil ikke suge mælk op Vil ikke suge mælk op Vil ikke suge mælk op Vil ikke suge mælk op,"['130302194', '132000000', '130302197', '130302313']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000372,Efter rengøring blev skærm sort. Der er lys i tænd/sluk knappen Efter rengøring blev skærm sort. Der er lys i tænd/sluk knappen,"['102230', 'X130302082']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000380,Fra AA. Begge maskiner i stueplan har problemer med mælk Fra AA. Begge maskiner i stueplan har problemer med mælk,"['130301128', '130301127']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000387,"Maskinen giver kun halv mængde mælk ved mælkedrikke. Hun synes, det ser ud til, at der er en revne foroven i mælkeslangen.",['130302227'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000392,"Problemer med temperatur.

Telefon: 60 74 69 73",['130301673'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000394,"Smider kaffe ud under maskinen
Har snakket med Steffen, det lyder til at det er kakaomodulet der er problemer med. Den kan godt lave kaffe. Smider kaffe ud under maskinen
Har snakket med Steffen, det lyder til at det er kakaomodulet der er problemer med. Den kan godt lave kaffe. Smider kaffe ud under maskinen
Har snakket med Steffen, det lyder til at det er kakaomodulet der er problemer med. Den kan godt lave kaffe.","['130305572', '130302197', '130302294']","[1.0, 1.0, 4.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO000396,"Drikke løber skævt ud af udløb. 
Haster ikke.",['130301686'],[1.0],Thermoplan Kaffemaskine BW3 CTS2,Nedbrud
WO000402,Koger ikke klar,['130302209'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000424,"Der løber vand ud under maskinen, registrere ikke mælken Der løber vand ud under maskinen, registrere ikke mælken Der løber vand ud under maskinen, registrere ikke mælken","['130301327', '130302173', '130302313']","[2.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000428,Registrere ikke mælken,['130301845'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000434,Giver ingen mælkedrikke,['130301992'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000435,"Mælkeslange knækket, kan ikke suge mælk op",['130301845'],[1.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO000443,"Er gået tør for rensetabs - Christoffer sagde de næsten lige havde fået flyttet en BW3 over til dem, vil du notere sn. og udlevere rensetabs til dem Er gået tør for rensetabs - Christoffer sagde de næsten lige havde fået flyttet en BW3 over til dem, vil du notere sn. og udlevere rensetabs til dem","['216000025', '216000012']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000444,Melder powder error på Americano Melder powder error på Americano,"['102230', '130301128']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000450,Under rens kommer der ikke vand i spanden. Under rens kommer der ikke vand i spanden.,"['130301806', 'X130302082']","[2.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000451,"Den støjer meget ved rengøring i step 10 af 10, lyder til det kommer fra kakao. Desuden vil de gerne have filterskifte.",['130500004'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO000452,Der kommer vand ud under maskinen ved rengøring. Desuden vil hun gerne have skiftet filter.,['130500004'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO000453,"Fra mail: Piston error, kommer efter et bryg. Fra mail: Piston error, kommer efter et bryg.","['130301361', '130301201']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000456,"Problemer med at mælken ikke giver rigtig mængde.
Stopper i renseprogram fejl 32 komponentfejl ( evt. magnet i blå rensenøgle )
Susanne 76250876 Problemer med at mælken ikke giver rigtig mængde.
Stopper i renseprogram fejl 32 komponentfejl ( evt. magnet i blå rensenøgle )
Susanne 76250876 Problemer med at mælken ikke giver rigtig mængde.
Stopper i renseprogram fejl 32 komponentfejl ( evt. magnet i blå rensenøgle )
Susanne 76250876 Problemer med at mælken ikke giver rigtig mængde.
Stopper i renseprogram fejl 32 komponentfejl ( evt. magnet i blå rensenøgle )
Susanne 76250876 Problemer med at mælken ikke giver rigtig mængde.
Stopper i renseprogram fejl 32 komponentfejl ( evt. magnet i blå rensenøgle )
Susanne 76250876","['132000000', '130302244', '130302269', '130302194', '130302193']","[1.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000457,"Kan ikke køre rens, reg. ikke skuffen.",['130301385'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO000458,Giver ingen mælk Giver ingen mælk,"['130301923', '132000000']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO000479,Blå nøgle sidder fast og køleskab fryser Blå nøgle sidder fast og køleskab fryser,"['130302070', '130302425']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000480,Mail fra CK: Kakao fylder ikke op + fylder ikke nok i kaffekopper Mail fra CK: Kakao fylder ikke op + fylder ikke nok i kaffekopper Mail fra CK: Kakao fylder ikke op + fylder ikke nok i kaffekopper Mail fra CK: Kakao fylder ikke op + fylder ikke nok i kaffekopper,"['130301715', '130301127', '130301535', '130301492']","[1.0, 1.0, 2.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000486,Melder vandflowfejl,['102077'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000487,Melder ingen bønner + og den larmer når den kværner (lyder forkert). Melder ingen bønner + og den larmer når den kværner (lyder forkert). Melder ingen bønner + og den larmer når den kværner (lyder forkert). Melder ingen bønner + og den larmer når den kværner (lyder forkert). Melder ingen bønner + og den larmer når den kværner (lyder forkert). Melder ingen bønner + og den larmer når den kværner (lyder forkert).,"['130301317', '130301344', '130301329', '130301892', '130301318', '130301624']","[1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",Thermoplan Kaffemaskine BW3 CBT2,Nedbrud
WO000498," 
Fylder kun halvt op i mælkedrikke. 
 
Åbent fra 8.30.   
Fylder kun halvt op i mælkedrikke. 
 
Åbent fra 8.30.   
Fylder kun halvt op i mælkedrikke. 
 
Åbent fra 8.30.   
Fylder kun halvt op i mælkedrikke. 
 
Åbent fra 8.30.   
Fylder kun halvt op i mælkedrikke. 
 
Åbent fra 8.30. ","['130301563', '130302194', '130302197', '130302366', '130302294']","[1.0, 1.0, 1.0, 1.0, 4.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000519,Mælkedrikke virker ikke,['130301970'],[1.0],Køleskab BW3,Nedbrud
WO000524,"Mail fra Kontra: Der kommer vand ud under den og ned i køleskabet.

Det haster, da der iflg. Mia er tryk på den maskine.  Mail fra Kontra: Der kommer vand ud under den og ned i køleskabet.

Det haster, da der iflg. Mia er tryk på den maskine.  Mail fra Kontra: Der kommer vand ud under den og ned i køleskabet.

Det haster, da der iflg. Mia er tryk på den maskine.  Mail fra Kontra: Der kommer vand ud under den og ned i køleskabet.

Det haster, da der iflg. Mia er tryk på den maskine. ","['130302197', '130302014', '130302294', '132000000']","[1.0, 1.0, 3.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO000531,Vandpumpe kører ikke,['102230'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000540,Sø af vand under maskinen.,['130302194'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS Kold mælk R,Nedbrud
WO000545,Maskinen går i stå i renseprogram.,['130302292'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO000563,Sviner med kaffe i,['130301686'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000566,Vand løber af fra reservoir og ud på gulvet. Har slukket maskinen,['130400018'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000572,"Maskinen står og looper, siger den laver kaffe, men der sker ingenting. Maskinen står og looper, siger den laver kaffe, men der sker ingenting. Maskinen står og looper, siger den laver kaffe, men der sker ingenting. Maskinen står og looper, siger den laver kaffe, men der sker ingenting. Maskinen står og looper, siger den laver kaffe, men der sker ingenting. Maskinen står og looper, siger den laver kaffe, men der sker ingenting. Maskinen står og looper, siger den laver kaffe, men der sker ingenting.","['130301304', '130302194', '130302193', '130302197', '130302294', '130302199', '130302253']","[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000582,"Fra mail: Relæ slår fra når både ovne kører, og der laves kaffe eller rengøringsprogram på kaffemaskine. Gilbarco har set på den, og skal have bentax ud, da det er en fejl på maskinen.. Fra mail: Relæ slår fra når både ovne kører, og der laves kaffe eller rengøringsprogram på kaffemaskine. Gilbarco har set på den, og skal have bentax ud, da det er en fejl på maskinen..","['130301715', '130301338']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000586,MP: Maskine skal genmonteres efter ombytning MP: Maskine skal genmonteres efter ombytning,"['130301280', '131000009R']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000596,Smider vand under maskinen Smider vand under maskinen,"['130302194', '132000000']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO000604,Kan ikke brygge i reservoir,['130301720R'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000605,Registrerer ikke mælken,['130301845'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000614,Maskinen kan ikke lave kaffedrik. Der kommer kun mælk ud. ,['130301690'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000617,"Bageriet, telefon: 7392 2121 

Sidder fast i step 1 i renseprogram. Har gjort i 2 timer nu.  Bageriet, telefon: 7392 2121 

Sidder fast i step 1 i renseprogram. Har gjort i 2 timer nu.  Bageriet, telefon: 7392 2121 

Sidder fast i step 1 i renseprogram. Har gjort i 2 timer nu.  Bageriet, telefon: 7392 2121 

Sidder fast i step 1 i renseprogram. Har gjort i 2 timer nu.  Bageriet, telefon: 7392 2121 

Sidder fast i step 1 i renseprogram. Har gjort i 2 timer nu. ","['130301249', '130302197', '130302294', '130301994', '130302250']","[1.0, 1.0, 4.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000620,Kan ikke lave mælkedrik. Der kommer slet ingen mælk ud.  Kan ikke lave mælkedrik. Der kommer slet ingen mælk ud.  Kan ikke lave mælkedrik. Der kommer slet ingen mælk ud.  Kan ikke lave mælkedrik. Der kommer slet ingen mælk ud. ,"['130302366', '130301492', '130301715', '130301874']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000622,CD: Siger en høj hyletone når maskinen står stille - CD siger det er det samme de oplever som ved Basico (blæser ved bønnebeholder),['130301805'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud
WO000624,"Under rens stopper den i step (hvor den ikke vil reg. mælkebeh.
Viser Temp. er for høj i køl, men er ok.
Lægger vand under maskinen.",['130302194'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000629,"Maskinen vil ikke tage imod rød rensenøgle. Hun siger, at den røde pind på boksen med de to nøgler er knækket af.",['130302422'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 RS TC,Nedbrud
WO000632,Lægger lidt vand under maskinen - foamer ikke nok på mælkedrikke.,['130301806'],[1.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO000667,Maskine har stået stille - skal startes op Maskine har stået stille - skal startes op,"['130301127', '130301128']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000686,"Fylder kun halvt op ved latte og mælkedrikke. Sker hver 2. gang ca.  Har forsøgt genstart uden held.

Camilla har fjernet mælken nu, så de kun sælger alm. kaffe indtil vi har været der. ",['130302294'],[4.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000693,Utæt under maskinen efter vi har været der. Utæt under maskinen efter vi har været der.,"['130301492', '130302732']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Nedbrud
WO000696,Komponentfejl - lægger lidt vand i bunden af maskinen,['130302385'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO000699,Maskinen på adressen gl. mønt larmer og sprutter når den skal køre.,['130301327'],[2.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000707,Mail fra Tina: Giver kun halve kopper.  Mail fra Tina: Giver kun halve kopper.  Mail fra Tina: Giver kun halve kopper.  Mail fra Tina: Giver kun halve kopper.  Mail fra Tina: Giver kun halve kopper.  Mail fra Tina: Giver kun halve kopper. ,"['130301773', 'X130302082', '130301535', '132000000', '130301715', '130301127']","[1.0, 1.0, 3.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000718,"Meget lidt i koppen ved valg af latte
Maskinen står i nr. 27 Meget lidt i koppen ved valg af latte
Maskinen står i nr. 27 Meget lidt i koppen ved valg af latte
Maskinen står i nr. 27 Meget lidt i koppen ved valg af latte
Maskinen står i nr. 27","['130301923', '130301127', '130301773', '130301715']","[1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000739,"Stopper i rengøringsprogram, step 1. Har sidddet fast i 2 timer. Kunde har forsøgt genstart.

Tlf. 32860100. Stopper i rengøringsprogram, step 1. Har sidddet fast i 2 timer. Kunde har forsøgt genstart.

Tlf. 32860100. Stopper i rengøringsprogram, step 1. Har sidddet fast i 2 timer. Kunde har forsøgt genstart.

Tlf. 32860100.","['130301129', '130301181', '130302199']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000740,Blå rensenøgle lægger der vand fra. Blå rensenøgle lægger der vand fra.,"['130301806', '130302070']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000746,Melder flow error Melder flow error Melder flow error Melder flow error,"['130301931', '130301377', '130301530', '130302102']","[2.0, 1.0, 1.0, 2.0]",Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000754,Kan ikke registrere mælkenøglen.,['130302031'],[1.0],Thermoplan Kaffemaskine BW3 CTMS2 ,Nedbrud
WO000758,"Mail fra Kontra: Bemærkninger til servicelinje: 
samme problem igen, vand i det hele, ud på bordet og i grumsbakken
 Mail fra Kontra: Bemærkninger til servicelinje: 
samme problem igen, vand i det hele, ud på bordet og i grumsbakken
","['130302176', '130302268']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2,Nedbrud
WO000765,Mail fra CK: Doserer forkert. Mail fra CK: Doserer forkert. Mail fra CK: Doserer forkert.,"['130301715', '130301127', '130301922']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000766,Melder Piston error igen Melder Piston error igen,"['130301201', '130301361']","[1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000767,Maskine er utæt. Drypper ud under bunden. ,['130300346'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO000768,Drypper meget vand ud fra maskinen.,['130301792'],[1.0],Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud
WO000770,Opstart efter coronanedlukning.,['130301535'],[2.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000780,Giver ikke nok i koppen på Latten Giver ikke nok i koppen på Latten Giver ikke nok i koppen på Latten,"['130302066', '130301715', '130301492']","[1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
WO000792,"Stoppet til i kakao i røret. Hun har prøvet at rense.
Skiftet mælkepumpe og lavet dosering om. ",['130302380'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud
WO000794,Skummer ikke mælk. Skummer ikke mælk.,"['130301137', '130301923']","[1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud
WO000798,Vil ikke suge mælk op - kunden kan se der sidder noget inde i mælkeslangen.,['130301893'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000801,melder Vand flowfejl - der har ikke været slukket for vandet i bygningen.,['130302269'],[1.0],Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000807,Utæt. Der løber vand ud under maskinen.  Utæt. Der løber vand ud under maskinen.  Utæt. Der løber vand ud under maskinen.  Utæt. Der løber vand ud under maskinen. ,"['130301318', '130301624', '130301317', '130301892']","[1.0, 1.0, 1.0, 1.0]",Modul BW3 Mekanisk samtlige modeller TP OMBYT,Nedbrud
WO000828,Maskine melder jævnligt vandflowfejl. De vil gerne have kigget på den. Maskine melder jævnligt vandflowfejl. De vil gerne have kigget på den. Maskine melder jævnligt vandflowfejl. De vil gerne have kigget på den. Maskine melder jævnligt vandflowfejl. De vil gerne have kigget på den. Maskine melder jævnligt vandflowfejl. De vil gerne have kigget på den.,"['130302294', '130302251', '130302199', '130302197', '130301221']","[2.0, 1.0, 1.0, 1.0, 1.0]",Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud
WO000830,"Efter endt reneprogram, beder den om rens igen. melder tøm grumseskuffe. Har slukket for maskinen.

Magnet i mælkerensenøgle skiftet. ",['130302385'],[1.0],Thermoplan Kaffemaskine BW3 CTM2,Nedbrud
WO000835,Mail fra CK: Maskinen giver ingen mælk og der drypper med vand i køledelen hvor mælken står,['130301970'],[1.0],Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud
