Work Order,Postal Code,First Arrived On,Completed On,Primary Incident Customer Asset,Customer Asset,Line Status,Incident Type,Primær Asset Kategori,Primær Asset Produkt,Work Order Type,Primary Incident Type,Instructions,Intern note,Koptæller,Product ID (Product) (Product),Supplier Item number (Product) (Product),Name,Quantity
WO000191,2100,2021-04-20 08:28:00,2021-04-20 12:32:00,BW085801,BW053934B,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud Frisk mælk Thermoplan,Vil ikke tage mælk ind,,293543.0,130301280,104484,Mobil piston komplet TP,1.0
WO000195,7000,2021-04-20 14:11:00,2021-04-20 15:37:00,B1136558,B1136558,Used,Nedbrud,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud,Nedbrud,Maskinen ude af drift efter nedlukning. Kalder på service og filterskift.,,,130500004,428121120,Bestmax M Filterpatron,1.0
WO000201,5500,2021-04-21 12:14:00,2021-04-22 08:45:00,BW117429,BW117429,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Fylder ikke nok i kopperne,Circle K,65418.0,130301535,108793,108793,1.0
WO000202,8700,2021-04-20 13:05:00,2021-04-20 14:45:00,BW107603,107610,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Giver ingen mælk,,85763.0,130301806,117705,Ventil 3/2 vejs,1.0
WO000210,2760,2021-04-20 12:20:00,2021-04-20 13:11:00,BW076433,BW149049B,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,Melder popwder error,,160212.0,130301892,118588,Pakning for fix piston TP,1.0
WO000211,8370,2021-04-20 16:05:00,2021-04-21 09:01:00,BW134182,BW079401H,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,"Mail fra CK: 4 strømafbydere - slår fra - til kaffemaskine,tobakskab og Merrychef(ovn).
Skal laves sådan at sikringer ikke slår fra så tit.
",Service now har snakket med station som siger det nu er kaffemaskinen der slår relæ.,31213.0,130301308,104795,O-ring6.07x1.78 TP,1.0
WO000213,3700,,,BW116997,,Used,,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Kunden skriver: der kommer vand ud for neden af maskinen,,,131000009R,122469R,Modul Hydraulik CTMC/CBTM Piller TP OMBYT,1.0
WO000235,2605,2021-04-21 08:56:00,2021-04-21 10:15:00,B1142272,B1142272,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Skal have skiftet mælkeslanget. Har været klippet over ifbm. ombygning jf. Sussi ,"Haster, da Sussi har ringet den ind i fredags allerede, men kan ikke se en sag nogen steder. 
Kunden skal betale for mælkeslange, kørsel samt tid. Coil er på vores regning.
Jesper",10264.0,130302313,128896,Mælkeslange lang BW4,1.0
WO000240,9850,2021-04-20 12:55:00,2021-04-20 13:52:00,200148533,200148533,Used,Nedbrud,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Nedbrud,Nedbrud,Gennemgang af maskine inden færgen kommer i drift. ,,5810.0,130302291,127732,Motor for pisker til kakao TP,1.0
WO000251,1255,2021-04-21 08:47:00,2021-04-21 10:05:00,BW154162,BW083145,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CTS2,Nedbrud,Nedbrud,Kan ikke køre med kværnen,,,130301535,108793,Ventil Pakning TP,1.0
WO000270,8210,2021-04-21 08:27:00,2021-04-21 08:41:00,BW150240,BW150240,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,Kan ikke kører rens,,106432.0,130301377,105440,Teflon slange ø 4/2,1.0
WO000272,9850,2021-04-21 08:00:00,2021-04-21 10:23:00,BW094727,BW094727,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBT2,Nedbrud,Nedbrud,Gennemgang af maskine inden færgen skal i drift. ,Afventer NCB,311367.0,130301318,104819,"O-ring 10,82x1,78 TP",1.0
WO000329,1051,2021-04-22 13:32:00,2021-04-22 16:11:00,BW145182,BW145182,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud,Mail fra CD: Maskinen på Nyhavn 37 Vil ikke tappe kaffe fra kar. Den kan godt brygge over i karet og fylde karet men knappen er skraveret.,Kontakt tlf. 53 38 92 38,54199.0,130301975,120554,Niveau print til reservoir TP,1.0
WO000333,8660,2021-04-22 13:21:00,2021-04-22 14:23:00,B1140552,B1140552,Used,Nedbrud,BW4 CTM2,Thermoplan Kaffemaskine BW4c CTM2,Nedbrud,Nedbrud,Mail fra Kontra: Vil ikke lave mælkedrikke,"Skiftet mælkecoil og tømt boiler for kalk. Melder også flow fejl.
Maskinen er ok efterfølgende og laver gode mælkedrikke.",33105.0,130302194,125665,Mælke Coil 11Wi BW4,1.0
WO000364,8260,2021-04-23 09:17:00,2021-04-23 11:00:00,B1138850,B1138850,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Vil ikke suge mælk op,"Kontrol af mælke delen, mælkeslangen er stoppet til, skiftet. Kontrol igen, pumpen kører ikke som den skal, afmont af hy modul og skift af kontra ventil, mælkecoil og pumpe, så er der mælk igen.",48331.0,130302197,125718,Kontraventil for rense blok BW4,1.0
WO000380,1300,2021-04-23 12:30:00,2021-04-23 13:58:00,BW083785,BW116994H,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,Fra AA. Begge maskiner i stueplan har problemer med mælk,,,130301128,101211,Renseblock kit for BW3,1.0
WO000394,5000,2021-04-26 08:36:00,2021-04-26 09:46:00,200144816,200144816,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,"Smider kaffe ud under maskinen
Har snakket med Steffen, det lyder til at det er kakaomodulet der er problemer med. Den kan godt lave kaffe.",Tlf. 63110039,2374.0,130302197,125718,Kontraventil for rense blok BW4,1.0
WO000424,4760,2021-04-27 08:15:00,2021-04-27 09:37:00,B1142273,B1142273,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,"Der løber vand ud under maskinen, registrere ikke mælken",,23015.0,130302173,125393,O Ring 85.00X2.50 EPDM 291 BW4,1.0
WO000424,4760,2021-04-27 08:15:00,2021-04-27 09:37:00,B1142273,B1142273,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,"Der løber vand ud under maskinen, registrere ikke mælken",,23015.0,130301327,104833,O ring for coil Bw4c,2.0
WO000456,7130,2021-04-27 11:33:00,2021-04-27 14:40:00,B1142715,B1142715H,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,"Problemer med at mælken ikke giver rigtig mængde.
Stopper i renseprogram fejl 32 komponentfejl ( evt. magnet i blå rensenøgle )
Susanne 76250876","Hydraulik: B11427151
- Reservedele: 125664x1, 127140x1, 126753x1, 120701x1, 125664x2

Afv. svar fra tlf/cza vedr. oprettelse af underaktiver på modul til at ligge reservedelsnr. på.

Brygger: B1-142715

Pumpe var utæt, coil var utæt, boilerventil var kalket til, ventil bag mælkepumpe var defekt.",10072.0,130302193,125664,Møtrik for BW4c coil,1.0
WO000480,3400,2021-04-28 11:13:00,2021-04-28 13:11:00,BW116804,BW116804,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Mail fra CK: Kakao fylder ikke op + fylder ikke nok i kaffekopper,,96046.0,130301535,108793,Ventil Pakning TP,2.0
WO000487,8260,2021-04-28 09:55:00,2021-04-28 11:40:00,BW130472,BW045307B,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBT2,Nedbrud,Nedbrud,Melder ingen bønner + og den larmer når den kværner (lyder forkert).,"Vi var der i går, men de oplever problemet igen i dag. SBS kunne ikke genskabe problem i går.  Tag fat i Lisbeth eller en anden fra køkkenet, når du kommer. Helst inden kl. 10.00, da Lisbeth går hjem 10.30. Jeg har oplyst hende, at det så kan tage længere tid, inden vi kan komme ud til dem.",24163.0,130301892,118588,Pakning for fix piston TP,1.0
WO000498,7500,2021-04-28 14:45:00,2021-04-28 15:05:00,B1138989,B1140398H,Used,Nedbrud Frisk mælk Thermoplan,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud Frisk mælk Thermoplan," 
Fylder kun halvt op i mælkedrikke. 
 
Åbent fra 8.30. ",,,130302294,127791,Ring Membran for ventil 3/2 FKM BW4 hydraulik,4.0
WO000524,7000,2021-04-28 12:54:00,2021-04-28 13:43:00,B1138555,B1138555,Used,Nedbrud,BW4 CTM2,Thermoplan Kaffemaskine BW4c CTM2,Nedbrud,Nedbrud,"Mail fra Kontra: Der kommer vand ud under den og ned i køleskabet.

Det haster, da der iflg. Mia er tryk på den maskine. ",,,130302197,125718,Kontraventil for rense blok BW4,1.0
WO000566,2100,2021-05-03 08:29:00,2021-05-03 09:48:00,BW085801,BW085801,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud,Vand løber af fra reservoir og ud på gulvet. Har slukket maskinen,,294332.0,130400018,FS00Z20A00,Besthead Flex ,1.0
WO000604,9000,2021-05-01 11:53:00,2021-05-01 15:00:00,BW072202,BW072202,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud,Kan ikke brygge i reservoir,"Skærmprint var defekt.

Forbrugt tid 3 timer på grund af ventetid på 3x 30 min for at fremprovokere fejl. Fejl opstod ikke med det samme efter maskinen havde været slukket.
",23487.0,130301720R,116832R,Display Komplet Renoveret TP renoveret,1.0
WO000614,8220,2021-05-03 12:23:00,2021-05-03 14:23:00,BW084710,BW084710,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Maskinen kan ikke lave kaffedrik. Der kommer kun mælk ud. ,,167881.0,130301690,116402,Vandtilslutning TP,1.0
WO000620,5700,2021-05-03 15:12:00,2021-05-03 17:18:00,BW134204,BW140102H,Used,Nedbrud Frisk mælk Thermoplan,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Kan ikke lave mælkedrik. Der kommer slet ingen mælk ud. ,,67985.0,130301492,108200,Lynkobling vinkel  TP,1.0
WO000620,5700,2021-05-03 15:12:00,2021-05-03 17:18:00,BW134204,BW140102H,Used,Nedbrud Frisk mælk Thermoplan,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Kan ikke lave mælkedrik. Der kommer slet ingen mælk ud. ,,67985.0,130302366,131232,Andenæb TP,1.0
WO000667,2770,2021-05-04 09:40:00,2021-05-04 13:27:00,BW141002,BW054282H,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Maskine har stået stille - skal startes op,"JR ved besked, har snakket med Dennis",68005.0,130301127,101210,Mælkepumpe kit for BW3,1.0
WO000667,2770,2021-05-04 09:40:00,2021-05-04 13:27:00,BW141002,BW054282H,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Maskine har stået stille - skal startes op,"JR ved besked, har snakket med Dennis",68005.0,130301128,101211,Renseblock kit for BW3,1.0
WO000707,2820,2021-05-05 09:07:00,2021-05-05 14:24:00,BW114831,BW141512H,Used,Nedbrud Frisk mælk Thermoplan,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,Mail fra Tina: Giver kun halve kopper. ,,713612.0,X130302082,121950,Renseblok piller TP,1.0
WO000707,2820,2021-05-05 09:07:00,2021-05-05 14:24:00,BW114831,BW114831,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTM2,Nedbrud,Nedbrud,Mail fra Tina: Giver kun halve kopper. ,,713612.0,130301535,108793,Ventil Pakning TP,3.0
WO000739,2300,2021-05-04 14:36:00,2021-05-04 17:57:00,200144891,100012072H,Used,BW4c lille eftersyn,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,"Stopper i rengøringsprogram, step 1. Har sidddet fast i 2 timer. Kunde har forsøgt genstart.

Tlf. 32860100.",,18476.0,130302199,125723,løfte ventil 3/2 ø6 DN4 DN4,1.0
WO000746,8220,2021-05-04 12:49:00,2021-05-04 14:06:00,BW078416,BW078416,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud,Melder flow error,,265772.0,130301530,108681,Lynkobling 4x4 TP,1.0
WO000794,2100,2021-05-05 10:17:00,2021-05-05 10:58:00,200144406,B1137357H,Used,Hændelse for modul,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud,Nedbrud,Skummer ikke mælk.,,23834.0,130301923,119414,O Ring 2.90X1.78 EPDM 291,1.0
WO000807,2620,2021-05-06 08:37:00,2021-05-06 09:49:00,BW151421B,BW151421B,Used,Nedbrud,BW3 Mekanisk,Modul BW3 Mekanisk samtlige modeller TP OMBYT,Nedbrud,Nedbrud,Utæt. Der løber vand ud under maskinen. ,,149974.0,130301318,104819,"O-ring 10,82x1,78 TP",1.0
WO000828,5220,2021-05-09 14:06:00,2021-05-09 14:57:00,200145670,100015233B,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Maskine melder jævnligt vandflowfejl. De vil gerne have kigget på den.,,49109.0,130301221,102918,Justeringsarm for kværn TP,1.0
WO000828,5220,2021-05-09 14:06:00,2021-05-09 14:57:00,200145670,B1142848H,Used,Nedbrud Frisk mælk Thermoplan,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Maskine melder jævnligt vandflowfejl. De vil gerne have kigget på den.,,49109.0,130302294,127791,Ring Membran for ventil 3/2 FKM BW4 hydraulik,2.0
WO000836,8800,2021-05-07 10:45:00,2021-05-07 11:49:00,B1135812,B1135812,Used,Nedbrud,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud,Nedbrud,mail fra kunde: Kaffemaskine hos Fonde - Der kommer vand ud under bunden (vi har lagt et håndklæde) og den kan ikke trække mælken fra kartonen over i kaffen. ,Vil du tjekke sn. :),,130302194,125665,Mælke Coil 11Wi BW4,1.0
WO000861,2770,2021-05-07 08:14:00,2021-05-07 10:41:00,BW119318,BW083785B,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Piston error,,247599.0,130301280,104484,Mobil piston komplet TP,1.0
WO000866,8200,2021-05-07 11:58:00,2021-05-07 13:07:00,B1142268H,B1142268H,Used,Nedbrud,BW4c Hydraulik,Modul BW4c Hydraulik OMBYT,Nedbrud,Nedbrud,Vandflow fejl.,"De har prøvet at skylle en masse vand igennem (efter at have talt med Ida), og så virkede den i et par timer. Deres vicevært har også kigget på den uden at kunne finde problemet.",,130302269,127140,Komplet ventil for BW4c boiler,1.0
WO000870,8220,2021-05-07 14:17:00,2021-05-07 14:46:00,B1142834,B1142834,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,"Problemer med kakao, lyder som et tandhjul takker over, når de vælger kakao. Der kommer kun vand og mælk.",Ring evt. hvis han selv kan prøve noget. Han er der kl. 9-14 i morgen fredag.,67235.0,130302291,127732,Motor for pisker til kakao TP,1.0
WO000883,9850,2021-05-10 07:59:00,2021-05-10 09:25:00,B1137102,B1137102,Used,Nedbrud,BW4 CTM2,Thermoplan Kaffemaskine BW4c CTM2,Nedbrud,Nedbrud,Melder vandflow error,,96245.0,130302201,125725,Kontrol ventil ø4 BW4,1.0
WO000894,3550,2021-05-07 09:35:00,2021-05-07 09:52:00,BW134195,BW134195,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Noget af mælken løber bag ved koppen.,,50917.0,130302088,122076,Kaffeudløb CTMC TP,1.0
WO000921,3600,2021-05-07 14:48:00,2021-05-07 14:57:00,200144515,200144515,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Mail fra Dalux: Haster - ) giver ikke mælk ve kaffe latte - Haster da de ikke kan gå weekenden uden kaffemaskine,"Navn: Jesper
Tlf.: 47337800
",24558.0,130302197,125718,Kontraventil for rense blok BW4,1.0
WO000922,6700,2021-05-07 16:26:00,2021-05-07 17:27:00,B1137357,B1137357,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,"PKC: utæt, vand på bordet - grumseskuffe kan ikke skubbes helt ind i den ene side.

Kontaktperson: 76784278","BCA: kender ikke vagtudkald

Vagtudkald !!!! Ringet ind 7/5 kl.12 og ville have besøg a.s.a.p",22104.0,130302173,125393,O Ring 85.00X2.50 EPDM 291 BW4,1.0
WO000925,6600,2021-05-10 09:09:00,2021-05-10 10:56:00,B1142720,B1142720,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Vil ikke lave kakao. Mistænker kaffebønne i kakao. ,,9769.0,130302194,125665,Mælke Coil 11Wi BW4,1.0
WO000954,8620,2021-05-10 09:35:00,2021-05-10 10:53:00,B1137759,B1137759,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,Vand ud over hele kommunen,,16265.0,130302070,121459,Rensenøgle for mælk komplet TP,1.0
WO000963,8200,2021-05-10 11:27:00,2021-05-10 13:40:00,B1138983,B1142268H,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,melder vandflow error,,82637.0,130302251,126922,Solinoid Kit TP,2.0
WO000984,8400,2021-05-11 08:41:00,2021-05-11 09:53:00,200144917,200144917,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,Kakaomodulet er stoppet til.,Samme som sidste uge.,8714.0,130301379,140706,Teflon slange ø 6/4,1.0
WO001004,2100,2021-05-11 12:48:00,2021-05-11 15:09:00,BW085801,BW8200248H,Used,Hændelse for modul,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud,Maskine lækker vand,Lukket fredag,295281.0,102114,,Vandtilslutning TP,1.0
WO001004,2100,2021-05-11 12:48:00,2021-05-11 15:09:00,BW085801,BW085801,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CBTM2,Nedbrud,Nedbrud,Maskine lækker vand,Lukket fredag,295281.0,130500006,428121140,Bestmax XL Filterpatron,1.0
WO001037,5000,2021-05-11 11:52:00,2021-05-11 14:00:00,200144816,100011071H,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Nedbrud,Der er knækket noget ved rensenøglerne. ,,2425.0,130302194,125665,Mælke Coil 11Wi BW4,1.0
WO001047,3520,2021-05-11 12:08:00,2021-05-11 14:11:00,BW140264,BW083418H,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Fylder for lidt i kopperne. Mangler 4 cm.,,41374.0,130301128,101211,Renseblock kit for BW3,0.0
WO001058,8000,2021-05-12 08:25:00,2021-05-12 09:30:00,B1137356,B1137356,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Maskine vil ikke lave mælkedrikke.,Ligger også et serviceftersyn fra 28/4 på denne maskine,203956.0,132000000,120701,Mælkepumpe TP,1.0
WO001058,8000,2021-05-12 08:25:00,2021-05-12 09:30:00,B1137356,B1137356,Used,Nedbrud,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Maskine vil ikke lave mælkedrikke.,Ligger også et serviceftersyn fra 28/4 på denne maskine,203956.0,130302194,125665,Mælke Coil 11Wi BW4,1.0
WO001085,2900,2021-05-12 11:34:00,2021-05-12 13:09:00,200149047,200149047,Used,Nedbrud,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Nedbrud,Nedbrud,Waterflow fejl,"Hun har fejlmeldt for to dage siden, men der er ingen sag i FS. Kan vi køre den i dag?",7660.0,130303715,386,Ventil Waterblock EL,1.0
WO001094,2200,2021-05-12 12:02:00,2021-05-12 13:05:00,B1138843,B1138843,Used,Nedbrud,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Nedbrud,Nedbrud,"Maskine drypper rigtig meget. 
OBS! Lukket torsdag og fredag i denne uge.",,61079.0,130302213,125892,Vandforsynings enhed BW4,1.0
WO001096,5000,2021-05-18 10:51:00,2021-05-18 11:32:00,B1137512,B1137512,Used,Regenerering,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Nedbrud,Regenerering,"Update 12/5 KAR der er udført hovedeftersyn så maskinen virker. Der skal skiftes kalkfilter og opdateres software ( husk at gemme recept ) 
Mail fra RS: mælken løber kun lidt ,så stopper den og vil slet ikke skumme –

",,27893.0,130304219,428121300,Bestmax filterhoved,1.0
WO001107,3460,2021-05-19 08:00:00,2021-05-19 11:50:00,B1138851,B1142823H,Used,Nedbrud Frisk mælk Thermoplan,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Kan ikke lave varmt vand/The + fryser til i rørene ved mælk.,"De har lukket torsdag/fredag, så det skal først være i uge 20.
Kørsel for afmontering af Coil. ",,130302209,125855,Temperatur sensor BW4 - brug 134385,1.0
WO001107,3460,2021-05-19 08:00:00,2021-05-19 11:50:00,B1138851,B1142823H,Used,Nedbrud Frisk mælk Thermoplan,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Kan ikke lave varmt vand/The + fryser til i rørene ved mælk.,"De har lukket torsdag/fredag, så det skal først være i uge 20.
Kørsel for afmontering af Coil. ",,130302201,125725,Kontrol ventil ø4 BW4,1.0
WO001107,3460,2021-05-19 08:00:00,2021-05-19 11:50:00,B1138851,B1142823H,Used,Nedbrud Frisk mælk Thermoplan,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Nedbrud,Nedbrud,Kan ikke lave varmt vand/The + fryser til i rørene ved mælk.,"De har lukket torsdag/fredag, så det skal først være i uge 20.
Kørsel for afmontering af Coil. ",,130302269,127140,Komplet ventil for BW4c boiler,1.0
WO001112,8700,2021-05-14 11:01:00,2021-05-14 12:25:00,BW107603,BW107603,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,"Der er ingen tryk på maskinen. Der kommer kun lidt i koppen uanset hvad de trækker, og det løber langsomt.",Skift af bryg og hydraulik. Beslutning taget pga. mange genkørsler og et utal af fejl (vi er på kunden hele tiden).,86962.0,131000009R,122469R,Modul Hydraulik CTMC/CBTM Piller TP OMBYT,1.0
WO001116,7800,2021-05-14 11:31:00,2021-05-14 12:04:00,BW140248,BW140248,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Der kommer meget vand i grumsen ved mellem og store kopper.,Til Kundeservice: Dodo station.,38748.0,130301318,104819,"O-ring 10,82x1,78 TP",1.0
WO001116,7800,2021-05-14 11:31:00,2021-05-14 12:04:00,BW140248,BW140248,Used,Nedbrud,BW3,Thermoplan Kaffemaskine BW3 CTMC2,Nedbrud,Nedbrud,Der kommer meget vand i grumsen ved mellem og store kopper.,Til Kundeservice: Dodo station.,38748.0,130301892,118588,Pakning for fix piston TP,1.0
