Producent,Typer,Koder,KodeBeskrivelser,Fejl,Prioritering,Løsningsforslag,Varenumer prioritet 1,Varenummer prioritet 2,Varenummer prioritet 3,KodeBeskrivelser (service),Fejl (service),Spørgsmål 1,Spørgsmål 2,Spørgsmål 3,Kunden kan prøve,Send tekniker ja / nej,URL-links,URL-links_Kundeserviceinformationer,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Thermoplan,BW3,Grounds drawer missing (TX0106),Grounds drawer missing (TX0106),CPU'en registrer ikke at grumseskuffen er tilstede.,1.0,Efterse at bønnebeholden er monteret korrekt og har kontakt til 'reed'-kontakten.,,,,Grounds drawer missing (TX0106),Grounds drawer missing (TX0106),,,,Kunden kan efterse om grumseskuffen er skubbet helt ind og at der ikke er noget der blokerer den for at komme helt i position.,,,,,,,,,,,,
Thermoplan,BW3,Grounds drawer missing (TX0106),Grounds drawer missing (TX0106),CPU'en registrer ikke at grumseskuffen er tilstede.,2.0,"Test 'reed'-kontakten (118006) på siden (højre), dette kan gøres ved at påsætte en magnet på 'reed'-kontakten og udføre en kontinuitetstest med et mulitmeter.",118006,,,Grounds drawer missing (TX0106),Grounds drawer missing (TX0106),,,,Kunden kan efterse om grumseskuffen er skubbet helt ind og at der ikke er noget der blokerer den for at komme helt i position.,,,,,,,,,,,,
Thermoplan,BW3,Grounds drawer missing (TX0106),Grounds drawer missing (TX0106),CPU'en registrer ikke at grumseskuffen er tilstede.,3.0,Efterse magneten på grumseskuffens bagside..,,,,Grounds drawer missing (TX0106),Grounds drawer missing (TX0106),,,,Kunden kan efterse om grumseskuffen er skubbet helt ind og at der ikke er noget der blokerer den for at komme helt i position.,,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0107),Piston error (TX0107),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",1.0,Efterse tandrem for bryghuset,,,,Piston error (TX0107),Piston error (TX0107),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0107),Piston error (TX0107),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",2.0,Efterse brygkammeret og dets spindel (er bryghuset blokeret?).,,,,Piston error (TX0107),Piston error (TX0107),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0107),Piston error (TX0107),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",3.0,"Efterse om 'mobile piston' kan bevæge sig frit, og at stemplet ikke er defekt.",,,,Piston error (TX0107),Piston error (TX0107),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0107),Piston error (TX0107),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",4.0,Efterse om 'fix piston' er korrekt monteret og at dets 'cuff'-pakning er korrekt påsat.,,,,Piston error (TX0107),Piston error (TX0107),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0107),Piston error (TX0107),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",5.0,Efterse om recepterne er indstillet efter Bentax's grundrecepter.,118588,,,Piston error (TX0107),Piston error (TX0107),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0107),Piston error (TX0107),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",6.0,Skift brygmotor.,102534,,,Piston error (TX0107),Piston error (TX0107),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Service required (TX0108),Service required (TX0108),"Den programmerede brygmængde er opnået, og maskinen beder om service.",1.0,"Udfør den planlagte service, og nulstil servicetælleren.",,,,Service required (TX0108),Service required (TX0108),,,,"Informer kunden om, at maskinen blot beder om service, og at det ikke er fordi maskinen har fejl.",,,,,,,,,,,,
Thermoplan,BW3,Clean appliance (TX0109),Clean appliance (TX0109),Siden den første produktudlevering er der gået 48 timer (kun kaffeprodukter) eller 24 timer (hvis mælkeprodukter blev udleveret).,1.0,"Efterse at ledningsnettet er placeret korrekt på ventilerne (lilla og rød på P/C, og grøn og rød på T).",,,,Clean appliance (TX0109),Clean appliance (TX0109),,,,Kunden skal sikre sig at der er blevet udført rengøringsprogram på maskinen.,,,,,,,,,,,,
Thermoplan,BW3,Clean appliance (TX0109),Clean appliance (TX0109),Siden den første produktudlevering er der gået 48 timer (kun kaffeprodukter) eller 24 timer (hvis mælkeprodukter blev udleveret).,2.0,Efterse stempel (115906) i (P/C)'Pod/Clean Valve' på ventilblok (boiler).,115906,,,Clean appliance (TX0109),Clean appliance (TX0109),,,,Kunden skal sikre sig at der er blevet udført rengøringsprogram på maskinen.,,,,,,,,,,,,
Thermoplan,BW3,Voltage low (TX0110),Voltage low (TX0110),"Spændingen er for lav, og driften stopper, så snart spændingen er under den indstillede tolerance (justerbar fra 0-30%). Hvis spændingen bliver for lav under udlevering af et produkt, vil udleveringen blive fuldført, og derefter stopper driften.",1.0,"Med parameteren ""Voltagecontrol"" indstilles driftsspændingens tolerance. Driften afbrydes, når spændingen falder under eller overstiger den indstillede tolerance. Hvis værdien er indstillet til ""0"", er funktionen deaktiveret. Bemærk: Denne funktion er vigtig, hvis der er installeret en transformer i maskinen. Ellers kan parameteren have indflydelse på produkterne.",,,,Voltage low (TX0110),Voltage low (TX0110),,,,Kunden kan desværre ikke gøre noget.,,,,,,,,,,,,
Thermoplan,BW3,Voltage high (TX0111),Voltage high (TX0111),"Spændingen er for høj, og driften stopper, så snart spændingen er over den indstillede tolerance (justerbar fra 0-30%). Hvis spændingen bliver for høj under udlevering af et produkt, vil udleveringen blive fuldført, og derefter stopper driften.",1.0,"Med parameteren ""Voltagecontrol"" indstilles driftsspændingens tolerance. Driften afbrydes, når spændingen falder under eller overstiger den indstillede tolerance. Hvis værdien er indstillet til ""0"", er funktionen deaktiveret. Bemærk: Denne funktion er vigtig, hvis der er installeret en transformer i maskinen. Ellers kan parameteren have indflydelse på produkterne.",,,,Voltage high (TX0111),Voltage high (TX0111),,,,Kunden kan desværre ikke gøre noget.,,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0113),Piston error (TX0113),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",1.0,Efterse tandrem for bryghuset,,,,Piston error (TX0113),Piston error (TX0113),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0113),Piston error (TX0113),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",2.0,Efterse brygkammeret og dets spindel (er bryghuset blokeret?).,,,,Piston error (TX0113),Piston error (TX0113),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0113),Piston error (TX0113),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",3.0,"Efterse om 'mobile piston' kan bevæge sig frit, og at stemplet ikke er defekt.",,,,Piston error (TX0113),Piston error (TX0113),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0113),Piston error (TX0113),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",4.0,Efterse om 'fix piston' er korrekt monteret og at dets 'cuff'-pakning er korrekt påsat.,,,,Piston error (TX0113),Piston error (TX0113),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0113),Piston error (TX0113),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",5.0,Efterse om recepterne er indstillet efter Bentax's grundrecepter.,118588,,,Piston error (TX0113),Piston error (TX0113),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Piston error (TX0113),Piston error (TX0113),"[1] Forkert bevægelse af brygenheden (ingen bevægelse eller langsom bevægelse).
[2] Brygkammeret er blokeret.
[3] 'Mobile piston' er blokeret; bryghuset kan ikke køre tilbage til mikrokontakten.
[4] Bryghuset kan ikke bevæge sig over 'fix piston'",6.0,Skift brygmotor.,102534,,,Piston error (TX0113),Piston error (TX0113),,,,"Kunden kan prøve at tømme grumseskuffen, og lave endnu et par produkter. Kunden kan også prøve at udføre et par ""manuel skyl"" - dette gøres (hvis aktivt) ved at trykke på det lille ""Blå/Gule"" ikon i nederste højre hjørne.",,,,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",1.0,Efterse om der er åbnet for bønnebeholderen.,,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",2.0,Efterse at  der ingen fremmedlegemer er i kværnkammeret eller bønnebeholderen.,,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",3.0,"Efterse om fjederen i på 'moving piston' (bryghuset) er intakt, og at 'moving piston' frit kan bevæge sig frem og tilbage - hvis ikke, skift fjeder (115890), og rens 'moving piston'.",115890,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",4.0,"Efterse om bryghuset har den korrekte position i forhold til ""halvmånerne"" på bryghuset og på de to kværne - de skal danne en circle. Positionen kan justeres under 'Factory Settings'.",,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",5.0,Efterse kværntandrem og bryghustandrem.,,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",6.0,Efterse om kværnen udleverer de korrekte kaffemængder i forhold til Bentax's grundrecepter.,,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",7.0,"Test om kværnmotoren eller startkondensatoren er defekt - motoren kan megges,  kondensatoren skal være 16 uF (+/- 5%).",,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",8.0,Efterse om kværnenes akser er defekte.,,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),"[1] Bønnebeholder er tom.
[2] Bryghusets position er ikke korrekt.
[3] Kværnmotor eller startkondensator er defekt.
[4] Kværnmotor TRIAC på power print er defekt.
[5] 'Mobile-piston' er defekt.",9.0,Test om kværnmotorens TRIAC på power printet er defekt.,,,,Bean hopper empty (TX0107 / TX0114),Bean hopper empty (TX0107 / TX0114),,,,Kunden kan efterse om der er bønner i beholderen og om der er åbent for bønnebeholderen (Henvis til video på hjemmeside om hjælp til selvhjælp)..,,,https://bentax.sharepoint.com/:b:/g/ERX1dtrQd9dArjJyZ082df4B_QhG6ox88dpMgBipnGHIyQ?e=vllzIl,,,,,,,,,
Thermoplan,BW3,Flow error (TX0115),Flow error (TX0115),Vandflow er for lavt.,1.0,"Kontrollér, om der kommer vand til maskinen. Det anbefalede installationsvandtryk (Netvand-tryk) til Thermoplan-maskiner er 2 til 4 bar.",,,,Flow error (TX0115),Flow error (TX0115),,,,"Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?",,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
Thermoplan,BW3,Flow error (TX0115),Flow error (TX0115),Vandflow er for lavt.,2.0,Efterse filteret (115953) på hydraulikkens flowmeter.,115953,,,Flow error (TX0115),Flow error (TX0115),,,,"Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?",,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
Thermoplan,BW3,Flow error (TX0115),Flow error (TX0115),Vandflow er for lavt.,3.0,"Undersøg vandindgangen til hydraulikmodulet (VN: 116402) for at sikre, at den er intakt, og at spidsen ikke er korroderet. Dette er vigtigt for at sikre, at kontraventilen i vandclippen aktiveres korrekt og trykkes tilstrækkeligt ind.",116402,,,Flow error (TX0115),Flow error (TX0115),,,,"Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?",,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
Thermoplan,BW3,Flow error (TX0115),Flow error (TX0115),Vandflow er for lavt.,4.0,Efterse filteret (101985) i maskinens vandindgang (103877).,101985,103877.0,,Flow error (TX0115),Flow error (TX0115),,,,"Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?",,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
Thermoplan,BW3,Flow error (TX0115),Flow error (TX0115),Vandflow er for lavt.,5.0,"Efterse om der kommer vand op til hydraulik - tag hydraulik ud og stik en spids genstand ind i chassiets vandtilkobling til hydraulik, og tænd for maskinen - hvis der ikke kommer vand ud, skift vandindgangsventil (108635)",108635,,,Flow error (TX0115),Flow error (TX0115),,,,"Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?",,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
Thermoplan,BW3,Flow error (TX0115),Flow error (TX0115),Vandflow er for lavt.,6.0,Kontroller stemplerne (115906) på kaffekedlen - er der rust på?,115906,,,Flow error (TX0115),Flow error (TX0115),,,,"Kunden skal kontrollere, om vandforsyningen til maskinen er åben. Er der åbent for hanen / ballofixen?",,,https://bentax.sharepoint.com/:b:/g/EebCJZh73CtBjL6VWwIrptMBR1XmPSyS6qdrKKxB5fM4ig?e=LIqx9Z,,,,,,,,,
